,Valid,Name,Affiliation,Email Domain,Citation Count,ID,Paper Count,h-index,i10-index,g-index,scoquality,recentness,score
71,+,Rob Ivison,"IfA and UK ATC, Royal Observatory Edinburgh",roe.ac.uk,23638.0,id_ASAI6foAAAAJ,288.0,38.0,114.0,58.0,0.031388388222846744,0.6857830795710315,35.8585733896939
72,+,Antonio de Ugarte Postigo,"Juan de la Cierva Postdoctoral Fellow, Instituto de Astrofï¿½sica de Andalucï¿½a (IAA-CSIC)",iaa.es,2573.0,id_pGIplWUAAAAJ,283.0,15.0,25.0,34.0,0.010562817339293372,0.6591646233284788,33.48637203338861
73,+,Boris Malomed,Tel Aviv University,post.tau.ac.il,18209.0,id_-zgxVEUAAAAJ,283.0,19.0,58.0,32.0,0.022678569734409758,0.6591646233284788,34.09215965314443
74,+,John PA Ioannidis,"Professor of Medicine, Stanford University (previously at U Ioannina, Greece)",stanford.edu,34407.0,id_A9e6sPYAAAAJ,281.0,39.0,112.0,81.0,0.034984359126337884,0.6590772408314577,34.70307999788978
75,+,Haixun Wang,Microsoft Research Asia,microsoft.com,5347.0,id_Q1mcglAAAAAJ,281.0,13.0,14.0,21.0,0.011760761632947021,0.6788772408314578,34.53190012322025
76,+,Schahram Dustdar,"Full Professor, Head of the Distributed Systems Group, Technical University of Vienna,",infosys.tuwien.ac.at,7182.0,id_0n5S6uUAAAAJ,281.0,23.0,62.0,41.0,0.0247789026273983,0.6590772408314577,34.1928071729428
77,+,Jurgen Rehm,"Director, Centre for Addiction and Mental Health",camh.net,12665.0,id_p5FrCV0AAAAJ,278.0,25.0,58.0,44.0,0.021534787925097425,0.6721461670859261,34.68404775055118
78,+,Mohammad Abdollahi,Professor at TUMS,tums.ac.ir,6058.0,id_jkclnU8AAAAJ,277.0,21.0,52.0,31.0,0.02089362676121971,0.6655024758374156,34.319805129931765
79,+,Bodhitha Jayatilaka,Duke University,fnal.gov,9520.0,id_zjNNC58AAAAJ,276.0,40.0,110.0,62.0,0.032922537023417936,0.6588587845889051,34.589066080616156
80,+,Jingchen Liu,Columbia University,stat.columbia.edu,1505.0,id_F2-iEvgAAAAJ,275.0,11.0,13.0,15.0,0.011081861251657377,0.6588150933403946,33.494847729602604
81,+,Bart Preneel,"Professor, KU Leuven",esat.kuleuven.be,10088.0,id_omio-RsAAAAJ,275.0,17.0,37.0,31.0,0.01625193678764146,0.6390150933403945,32.763351506401804
82,+,Panos Pardalos,University of Florida,ufl.edu,17065.0,id_4e_KEdUAAAAJ,274.0,13.0,25.0,23.0,0.01616572012955237,0.658771402091884,33.74685611107182
83,+,Joachim Hornegger,"Professor of Computer Science, University of Erlangen",cs.fau.de,2158.0,id_s7A4ZYgAAAAJ,274.0,14.0,24.0,21.0,0.0153977048663572,0.6653714020918841,34.038455347912056
